year,month,chargingPower_10kW_count,chargingPower_21kW_count,chargingPower_42kW_count,chargingPower_100kW_count,chargingPower_100pluskW_count,chargingPower_AG_count,chargingPower_AG_sum,chargingPower_AI_count,chargingPower_AI_sum,chargingPower_AR_count,chargingPower_AR_sum,chargingPower_BE_count,chargingPower_BE_sum,chargingPower_BL_count,chargingPower_BL_sum,chargingPower_BS_count,chargingPower_BS_sum,chargingPower_CH_count,chargingPower_CH_sum,chargingPower_FR_count,chargingPower_FR_sum,chargingPower_GE_count,chargingPower_GE_sum,chargingPower_GL_count,chargingPower_GL_sum,chargingPower_GR_count,chargingPower_GR_sum,chargingPower_JU_count,chargingPower_JU_sum,chargingPower_LU_count,chargingPower_LU_sum,chargingPower_NE_count,chargingPower_NE_sum,chargingPower_NW_count,chargingPower_NW_sum,chargingPower_OW_count,chargingPower_OW_sum,chargingPower_SG_count,chargingPower_SG_sum,chargingPower_SH_count,chargingPower_SH_sum,chargingPower_SO_count,chargingPower_SO_sum,chargingPower_SZ_count,chargingPower_SZ_sum,chargingPower_TG_count,chargingPower_TG_sum,chargingPower_TI_count,chargingPower_TI_sum,chargingPower_UR_count,chargingPower_UR_sum,chargingPower_VD_count,chargingPower_VD_sum,chargingPower_VS_count,chargingPower_VS_sum,chargingPower_ZG_count,chargingPower_ZG_sum,chargingPower_ZH_count,chargingPower_ZH_sum,locations_AG_count,locations_AI_count,locations_AR_count,locations_BE_count,locations_BL_count,locations_BS_count,locations_CH_count,locations_FR_count,locations_GE_count,locations_GL_count,locations_GR_count,locations_JU_count,locations_LU_count,locations_NE_count,locations_NW_count,locations_OW_count,locations_SG_count,locations_SH_count,locations_SO_count,locations_SZ_count,locations_TG_count,locations_TI_count,locations_UR_count,locations_VD_count,locations_VS_count,locations_ZG_count,locations_ZH_count,plugs_AVCONConnector_count,plugs_CCSCombo1PlugCableAttached_count,plugs_CCSCombo2PlugCableAttached_count,plugs_CH_count,plugs_CHAdeMO_count,plugs_IEC60309SinglePhase_count,plugs_IEC60309ThreePhase_count,plugs_LargePaddleInductive_count,plugs_NEMA520_count,plugs_SmallPaddleInductive_count,plugs_TeslaConnector_count,plugs_Type1ConnectorCableAttached_count,plugs_Type2ConnectorCableAttached_count,plugs_Type2Outlet_count,plugs_Type3Outlet_count,plugs_TypeEFrenchStandard_count,plugs_TypeFSchuko_count,plugs_TypeGBritishStandard_count,plugs_TypeJSwissStandard_count,plugs_Unspecified_count,stations_AG_count,stations_AI_count,stations_AR_count,stations_BE_count,stations_BL_count,stations_BS_count,stations_CH_count,stations_FR_count,stations_GE_count,stations_GL_count,stations_GR_count,stations_JU_count,stations_LU_count,stations_NE_count,stations_NW_count,stations_OW_count,stations_SG_count,stations_SH_count,stations_SO_count,stations_SZ_count,stations_TG_count,stations_TI_count,stations_UR_count,stations_VD_count,stations_VS_count,stations_ZG_count,stations_ZH_count
2020,11,2175,498,3210,661,563,326,11660,13,286,25,601,366,13655,121,4769,62,1793,4609,169800,187,8538,265,3827,33,2209,321,12502,29,885,151,8035,115,2768,18,1164,16,459,326,9213,52,2555,183,10452,77,2795,103,3192,364,16034,28,4312,482,13773,331,11387,42,1425,573,21511,169,9,18,269,48,29,2484,79,83,27,166,17,133,64,20,11,173,25,83,47,60,173,10,244,169,100,258,0,1,502,7673,352,2,1,0,0,0,396,1616,1778,2571,2,0,40,0,388,25,362,13,25,502,123,62,5095,187,265,54,336,29,226,115,38,16,338,52,196,86,109,371,32,484,332,122,620
2020,12,2291,516,3353,671,564,333,11722,13,286,25,611,392,14170,122,4802,62,1800,4740,172688,187,8537,270,3939,33,2209,322,12567,33,1014,151,8037,117,2802,18,1164,16,459,327,9227,53,2577,189,10579,76,2788,105,3229,388,16620,28,4312,510,14356,346,11726,42,1436,582,21719,171,9,19,282,52,29,2542,78,85,28,168,19,128,65,20,11,173,25,86,47,63,180,10,250,179,102,263,0,1,537,8001,383,6,1,0,0,0,396,1705,1869,2624,2,0,40,4,407,27,368,13,26,535,129,62,5250,187,270,55,339,33,223,117,38,16,339,53,202,85,113,396,32,513,348,124,634
2021,01,2354,529,3483,719,584,353,13209,13,286,26,623,410,14780,123,4831,65,1859,4929,181252,190,8833,270,3933,35,2303,327,12750,36,1324,161,8219,119,3072,18,1164,16,459,340,10167,53,2577,196,10835,80,2868,105,3287,416,17430,28,4312,532,15142,365,12614,42,1425,610,22950,179,9,21,299,56,31,2640,80,85,30,170,21,130,66,20,11,179,25,89,47,62,186,10,253,186,115,280,0,1,587,8353,421,6,1,0,0,0,396,1754,1919,2766,2,0,33,4,431,32,393,13,28,567,136,66,5507,191,270,58,347,36,233,119,38,16,355,54,209,90,113,426,32,537,370,141,669
2021,02,2382,538,3558,746,609,392,16806,13,286,26,623,412,14905,130,4948,66,1908,5049,188664,192,8988,274,4027,36,2351,328,12817,38,1504,167,8384,121,3222,18,1164,16,459,331,10126,57,2673,198,11010,83,3119,103,3297,421,17641,28,4312,543,15707,376,13086,43,1439,637,23862,196,9,23,309,61,32,2744,81,85,31,171,22,133,66,20,11,178,27,90,54,61,187,10,260,193,146,288,0,1,629,8612,446,6,1,0,0,0,396,1783,1946,2901,2,0,28,4,433,37,435,13,30,587,149,68,5713,195,274,60,347,38,241,121,38,16,352,60,212,100,111,431,32,549,382,174,698
2021,03,2414,547,3632,748,614,400,17190,13,286,27,646,412,14694,130,4956,66,1908,5118,190802,195,9069,282,4206,36,2351,355,13780,38,1513,166,8360,122,3234,18,1164,16,459,320,9694,57,2678,198,11171,84,3249,100,3391,425,17730,28,4312,548,15865,384,13247,44,1469,654,24180,204,9,24,315,67,33,2801,83,86,31,180,22,136,67,20,11,176,25,92,56,59,189,10,267,199,144,296,0,1,643,8784,453,6,1,0,0,0,396,1805,1967,3006,2,0,29,4,433,38,446,13,31,591,167,69,5825,198,282,60,375,38,245,122,38,16,345,58,216,102,108,435,32,554,391,172,721
2021,04,2429,644,3561,792,596,409,18206,12,274,27,649,425,14771,138,4805,65,1894,5205,189449,204,8826,292,4369,34,1754,342,13273,39,1554,170,8146,122,3227,19,1189,15,443,344,9933,61,2686,196,10026,83,3237,111,3425,427,17774,28,4272,567,15896,372,12937,47,1533,656,24350,214,9,26,325,71,34,2842,88,88,31,176,23,141,67,20,12,188,28,90,57,64,189,10,267,196,129,299,0,1,577,8893,458,6,1,0,0,0,396,1812,2427,2628,1,0,31,4,431,120,461,12,33,610,178,70,5946,207,292,59,367,39,254,122,38,16,371,61,214,103,120,436,32,574,381,161,735
2021,05,2443,692,3316,823,579,409,18532,13,286,27,653,395,14141,136,4470,64,1864,5092,184229,195,8239,291,4311,30,1100,304,12164,39,1587,168,7792,119,3156,20,1208,14,415,350,9526,65,2685,186,9323,82,3223,114,3146,426,17755,28,4232,579,15919,347,12500,48,1562,643,24440,219,9,26,337,70,36,2887,89,95,29,164,23,145,67,20,11,197,30,86,57,67,191,10,280,188,131,310,0,1,506,8879,456,5,1,0,0,0,396,1826,2784,2240,0,0,31,3,430,202,472,13,33,604,174,73,5979,205,305,56,343,39,262,121,39,15,383,65,201,102,127,441,32,600,358,163,753
2021,06,2456,704,3357,829,581,415,18641,13,286,28,667,401,14234,136,4471,64,1864,5149,185657,196,8512,294,4387,30,1100,304,12131,39,1587,172,7832,120,3162,20,1208,14,415,351,9548,65,2685,186,9324,88,3296,115,3163,431,17914,28,4232,583,16082,360,12782,49,1579,647,24555,228,9,27,348,71,35,2947,90,95,29,165,23,147,67,20,10,201,32,86,59,68,194,11,283,196,132,321,0,1,513,9022,461,2,1,0,0,0,396,1840,2811,2331,0,0,31,0,433,201,488,13,34,624,175,72,6089,207,308,57,344,39,267,122,39,14,388,68,202,108,128,446,34,604,374,166,768
2021,08,2463,693,3505,858,582,423,17552,13,286,30,758,409,14379,136,4734,63,1842,5292,188998,197,8497,328,5330,30,1100,331,12801,38,1470,178,7868,121,3231,21,1222,16,459,355,9774,64,2672,184,9278,100,3496,117,3238,432,17927,42,4507,598,16630,395,13532,50,1601,621,24814,236,9,28,358,74,32,3044,95,104,30,176,22,153,69,20,11,204,31,84,64,70,194,18,288,216,133,325,0,1,528,9225,482,2,1,0,0,0,396,1854,2883,2397,0,0,33,0,428,219,502,13,36,642,172,67,6256,209,342,59,373,38,275,123,43,16,395,67,200,120,130,447,49,619,411,167,741
2021,09,2484,707,3555,864,581,423,17363,13,286,31,791,417,14545,137,4776,63,1842,5355,190218,200,8606,335,5627,30,1100,339,12971,38,1443,181,7927,125,3309,20,1204,16,459,366,10031,63,2659,187,9330,101,3515,118,3256,432,17940,42,4507,600,16555,401,13607,50,1600,627,24969,236,9,28,360,74,32,3070,95,106,30,177,23,155,72,20,11,209,31,86,64,70,195,18,289,221,133,326,0,1,594,9313,492,2,1,0,0,0,396,1873,2930,2399,0,0,33,0,429,164,502,13,37,650,173,67,6319,212,349,59,381,38,278,127,42,16,406,66,203,121,131,447,49,621,417,167,747
