,Canton,Amount,datetime
197,GE,292,2021-04-01
198,GE,305,2021-05-01
199,GE,308,2021-06-01
200,GE,342,2021-08-01
201,GE,349,2021-09-01
202,GE,369,2021-10-01
203,GE,377,2021-11-01
204,GE,391,2021-12-01
205,GE,387,2022-01-01
206,GE,394,2022-02-01
207,GE,392,2022-03-01
208,GE,393,2022-04-01
209,GE,394,2022-05-01
210,GE,396,2022-06-01
211,GE,403,2022-07-01
212,GE,413,2022-08-01
213,GE,438,2022-09-01
214,GE,448,2022-10-01
215,GE,465,2022-11-01
216,GL,54,2020-11-01
217,GL,55,2020-12-01
218,GL,58,2021-01-01
219,GL,60,2021-02-01
220,GL,60,2021-03-01
221,GL,59,2021-04-01
222,GL,56,2021-05-01
223,GL,57,2021-06-01
224,GL,59,2021-08-01
225,GL,59,2021-09-01
226,GL,59,2021-10-01
227,GL,59,2021-11-01
228,GL,59,2021-12-01
229,GL,59,2022-01-01
230,GL,59,2022-02-01
231,GL,59,2022-03-01
232,GL,61,2022-04-01
233,GL,63,2022-05-01
234,GL,63,2022-06-01
235,GL,65,2022-07-01
236,GL,69,2022-08-01
237,GL,72,2022-09-01
238,GL,72,2022-10-01
239,GL,72,2022-11-01
240,GR,336,2020-11-01
241,GR,339,2020-12-01
242,GR,347,2021-01-01
243,GR,347,2021-02-01
244,GR,375,2021-03-01
245,GR,367,2021-04-01
246,GR,343,2021-05-01
247,GR,344,2021-06-01
248,GR,373,2021-08-01
249,GR,381,2021-09-01
250,GR,388,2021-10-01
251,GR,389,2021-11-01
252,GR,392,2021-12-01
253,GR,412,2022-01-01
254,GR,422,2022-02-01
255,GR,424,2022-03-01
256,GR,436,2022-04-01
257,GR,445,2022-05-01
258,GR,448,2022-06-01
259,GR,460,2022-07-01
260,GR,463,2022-08-01
261,GR,464,2022-09-01
262,GR,470,2022-10-01
263,GR,484,2022-11-01
264,JU,29,2020-11-01
265,JU,33,2020-12-01
266,JU,36,2021-01-01
267,JU,38,2021-02-01
268,JU,38,2021-03-01
269,JU,39,2021-04-01
270,JU,39,2021-05-01
271,JU,39,2021-06-01
272,JU,38,2021-08-01
273,JU,38,2021-09-01
274,JU,40,2021-10-01
275,JU,41,2021-11-01
276,JU,41,2021-12-01
277,JU,42,2022-01-01
278,JU,45,2022-02-01
279,JU,44,2022-03-01
280,JU,45,2022-04-01
281,JU,46,2022-05-01
282,JU,46,2022-06-01
283,JU,50,2022-07-01
284,JU,51,2022-08-01
285,JU,50,2022-09-01
286,JU,50,2022-10-01
287,JU,50,2022-11-01
288,LU,226,2020-11-01
289,LU,223,2020-12-01
290,LU,233,2021-01-01
291,LU,241,2021-02-01
292,LU,245,2021-03-01
293,LU,254,2021-04-01
294,LU,262,2021-05-01
295,LU,267,2021-06-01
296,LU,275,2021-08-01
297,LU,278,2021-09-01
298,LU,278,2021-10-01
299,LU,279,2021-11-01
300,LU,280,2021-12-01
301,LU,291,2022-01-01
302,LU,293,2022-02-01
303,LU,302,2022-03-01
304,LU,337,2022-04-01
305,LU,369,2022-05-01
306,LU,371,2022-06-01
307,LU,394,2022-07-01
308,LU,421,2022-08-01
309,LU,420,2022-09-01
310,LU,439,2022-10-01
311,LU,438,2022-11-01
312,NE,115,2020-11-01
313,NE,117,2020-12-01
314,NE,119,2021-01-01
315,NE,121,2021-02-01
316,NE,122,2021-03-01
317,NE,122,2021-04-01
318,NE,121,2021-05-01
319,NE,122,2021-06-01
320,NE,123,2021-08-01
321,NE,127,2021-09-01
322,NE,129,2021-10-01
323,NE,130,2021-11-01
324,NE,133,2021-12-01
325,NE,148,2022-01-01
326,NE,149,2022-02-01
327,NE,151,2022-03-01
328,NE,152,2022-04-01
329,NE,155,2022-05-01
330,NE,171,2022-06-01
331,NE,177,2022-07-01
332,NE,181,2022-08-01
333,NE,181,2022-09-01
334,NE,187,2022-10-01
335,NE,187,2022-11-01
336,NW,38,2020-11-01
337,NW,38,2020-12-01
338,NW,38,2021-01-01
339,NW,38,2021-02-01
340,NW,38,2021-03-01
341,NW,38,2021-04-01
342,NW,39,2021-05-01
343,NW,39,2021-06-01
344,NW,43,2021-08-01
345,NW,42,2021-09-01
346,NW,42,2021-10-01
347,NW,42,2021-11-01
348,NW,42,2021-12-01
349,NW,48,2022-01-01
350,NW,48,2022-02-01
351,NW,48,2022-03-01
352,NW,52,2022-04-01
353,NW,55,2022-05-01
354,NW,55,2022-06-01
355,NW,57,2022-07-01
356,NW,56,2022-08-01
357,NW,57,2022-09-01
358,NW,63,2022-10-01
359,NW,67,2022-11-01
360,OW,16,2020-11-01
361,OW,16,2020-12-01
362,OW,16,2021-01-01
363,OW,16,2021-02-01
364,OW,16,2021-03-01
365,OW,16,2021-04-01
366,OW,15,2021-05-01
367,OW,14,2021-06-01
368,OW,16,2021-08-01
369,OW,16,2021-09-01
370,OW,16,2021-10-01
371,OW,17,2021-11-01
372,OW,18,2021-12-01
373,OW,16,2022-01-01
374,OW,16,2022-02-01
375,OW,16,2022-03-01
376,OW,18,2022-04-01
377,OW,19,2022-05-01
378,OW,19,2022-06-01
379,OW,23,2022-07-01
380,OW,24,2022-08-01
381,OW,24,2022-09-01
382,OW,26,2022-10-01
383,OW,31,2022-11-01
384,SG,338,2020-11-01
385,SG,339,2020-12-01
386,SG,355,2021-01-01
387,SG,352,2021-02-01
388,SG,345,2021-03-01
389,SG,371,2021-04-01
390,SG,383,2021-05-01
391,SG,388,2021-06-01
392,SG,395,2021-08-01
393,SG,406,2021-09-01
394,SG,413,2021-10-01
395,SG,418,2021-11-01
396,SG,450,2021-12-01
397,SG,497,2022-01-01
398,SG,502,2022-02-01
399,SG,512,2022-03-01
400,SG,536,2022-04-01
401,SG,571,2022-05-01
402,SG,582,2022-06-01
403,SG,588,2022-07-01
404,SG,615,2022-08-01
405,SG,615,2022-09-01
406,SG,620,2022-10-01
407,SG,630,2022-11-01
408,SH,52,2020-11-01
409,SH,53,2020-12-01
410,SH,54,2021-01-01
411,SH,60,2021-02-01
412,SH,58,2021-03-01
413,SH,61,2021-04-01
414,SH,65,2021-05-01
415,SH,68,2021-06-01
416,SH,67,2021-08-01
417,SH,66,2021-09-01
418,SH,67,2021-10-01
419,SH,67,2021-11-01
420,SH,68,2021-12-01
421,SH,71,2022-01-01
422,SH,68,2022-02-01
423,SH,71,2022-03-01
424,SH,75,2022-04-01
425,SH,78,2022-05-01
426,SH,86,2022-06-01
427,SH,82,2022-07-01
428,SH,90,2022-08-01
429,SH,92,2022-09-01
430,SH,94,2022-10-01
431,SH,93,2022-11-01
432,SO,196,2020-11-01
433,SO,202,2020-12-01
434,SO,209,2021-01-01
435,SO,212,2021-02-01
436,SO,216,2021-03-01
437,SO,214,2021-04-01
438,SO,201,2021-05-01
439,SO,202,2021-06-01
440,SO,200,2021-08-01
441,SO,203,2021-09-01
442,SO,210,2021-10-01
443,SO,212,2021-11-01
444,SO,215,2021-12-01
445,SO,241,2022-01-01
446,SO,244,2022-02-01
447,SO,245,2022-03-01
448,SO,245,2022-04-01
449,SO,260,2022-05-01
450,SO,268,2022-06-01
451,SO,271,2022-07-01
452,SO,280,2022-08-01
453,SO,279,2022-09-01
454,SO,276,2022-10-01
455,SO,280,2022-11-01
456,SZ,86,2020-11-01
457,SZ,85,2020-12-01
458,SZ,90,2021-01-01
459,SZ,100,2021-02-01
460,SZ,102,2021-03-01
461,SZ,103,2021-04-01
462,SZ,102,2021-05-01
463,SZ,108,2021-06-01
464,SZ,120,2021-08-01
465,SZ,121,2021-09-01
466,SZ,122,2021-10-01
467,SZ,122,2021-11-01
468,SZ,119,2021-12-01
469,SZ,124,2022-01-01
470,SZ,126,2022-02-01
471,SZ,128,2022-03-01
472,SZ,134,2022-04-01
473,SZ,141,2022-05-01
474,SZ,146,2022-06-01
475,SZ,149,2022-07-01
476,SZ,150,2022-08-01
477,SZ,150,2022-09-01
478,SZ,153,2022-10-01
479,SZ,156,2022-11-01
480,TG,109,2020-11-01
481,TG,113,2020-12-01
482,TG,113,2021-01-01
483,TG,111,2021-02-01
484,TG,108,2021-03-01
485,TG,120,2021-04-01
486,TG,127,2021-05-01
487,TG,128,2021-06-01
488,TG,130,2021-08-01
489,TG,131,2021-09-01
490,TG,133,2021-10-01
491,TG,133,2021-11-01
492,TG,132,2021-12-01
493,TG,153,2022-01-01
494,TG,156,2022-02-01
495,TG,156,2022-03-01
496,TG,166,2022-04-01
497,TG,178,2022-05-01
498,TG,181,2022-06-01
499,TG,184,2022-07-01
500,TG,193,2022-08-01
501,TG,187,2022-09-01
502,TG,191,2022-10-01
503,TG,195,2022-11-01
504,TI,371,2020-11-01
505,TI,396,2020-12-01
506,TI,426,2021-01-01
507,TI,431,2021-02-01
508,TI,435,2021-03-01
509,TI,436,2021-04-01
510,TI,441,2021-05-01
511,TI,446,2021-06-01
512,TI,447,2021-08-01
513,TI,447,2021-09-01
514,TI,452,2021-10-01
515,TI,460,2021-11-01
516,TI,460,2021-12-01
517,TI,469,2022-01-01
518,TI,469,2022-02-01
519,TI,476,2022-03-01
520,TI,496,2022-04-01
521,TI,513,2022-05-01
522,TI,517,2022-06-01
523,TI,531,2022-07-01
524,TI,539,2022-08-01
525,TI,549,2022-09-01
526,TI,567,2022-10-01
527,TI,571,2022-11-01
528,UR,32,2020-11-01
529,UR,32,2020-12-01
530,UR,32,2021-01-01
531,UR,32,2021-02-01
532,UR,32,2021-03-01
533,UR,32,2021-04-01
534,UR,32,2021-05-01
535,UR,34,2021-06-01
536,UR,49,2021-08-01
537,UR,49,2021-09-01
538,UR,50,2021-10-01
539,UR,50,2021-11-01
540,UR,50,2021-12-01
541,UR,58,2022-01-01
542,UR,60,2022-02-01
543,UR,60,2022-03-01
544,UR,67,2022-04-01
545,UR,74,2022-05-01
546,UR,74,2022-06-01
547,UR,77,2022-07-01
548,UR,76,2022-08-01
549,UR,69,2022-09-01
550,UR,66,2022-10-01
551,UR,66,2022-11-01
552,VD,484,2020-11-01
553,VD,513,2020-12-01
554,VD,537,2021-01-01
555,VD,549,2021-02-01
556,VD,554,2021-03-01
557,VD,574,2021-04-01
558,VD,600,2021-05-01
559,VD,604,2021-06-01
560,VD,619,2021-08-01
561,VD,621,2021-09-01
562,VD,627,2021-10-01
563,VD,633,2021-11-01
564,VD,638,2021-12-01
565,VD,665,2022-01-01
566,VD,670,2022-02-01
567,VD,670,2022-03-01
568,VD,673,2022-04-01
569,VD,682,2022-05-01
570,VD,687,2022-06-01
571,VD,718,2022-07-01
572,VD,755,2022-08-01
573,VD,771,2022-09-01
574,VD,783,2022-10-01
575,VD,816,2022-11-01
576,VS,332,2020-11-01
577,VS,348,2020-12-01
578,VS,370,2021-01-01
579,VS,382,2021-02-01
580,VS,391,2021-03-01
581,VS,381,2021-04-01
582,VS,358,2021-05-01
583,VS,374,2021-06-01
584,VS,411,2021-08-01
585,VS,417,2021-09-01
586,VS,416,2021-10-01
587,VS,426,2021-11-01
588,VS,442,2021-12-01
589,VS,468,2022-01-01
590,VS,467,2022-02-01
591,VS,475,2022-03-01
592,VS,488,2022-04-01
